faixa_idade,genero,raca,regiao,escolaridade,situacao_trabalho,cargo,nivel,salario,tempo_experiencia_dados,tempo_experiencia_ti,satisfacao,salario_num,latitude,longitude
30-34,Masculino,Preta,Sul,Mestrado,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-27.0,-51.0
30-34,Masculino,Parda,,Mestrado,Empregado (CLT),Analista de Suporte,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 1 a 2 anos,False,10000,,
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Cientista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
30-34,Feminino,Branca,Sul,Pós-graduação,Empregado (CLT),Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Menos de 1 ano,False,7000,-27.0,-51.0
30-34,Masculino,Preta,Norte,Mestrado,Empregado (CLT),Eng. Machine Learning,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,de 5 a 6 anos,False,18000,-5.0,-60.0
30-34,Feminino,Branca,Sudeste,Mestrado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 16.001/mês a R$ 20.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,18000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Desenvolvedor,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,de 5 a 6 anos,False,3500,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,14000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,de 1 a 2 anos,False,5000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Doutorado ou Phd,Empreendedor ou Empregado (CNPJ),Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,7000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Cientista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
30-34,Masculino,Branca,Nordeste,Pós-graduação,Empregado (CLT),Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-8.0,-38.0
30-34,Masculino,Branca,Sudeste,Mestrado,Empregado (CLT),Cientista de Dados,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 1 a 2 anos,True,10000,-20.0,-44.0
30-34,Feminino,Parda,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analytics Engineer,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,de 1 a 2 anos,True,18000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,de 1 a 2 anos,False,14000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Eng. Machine Learning,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,7000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Mestrado,Empregado (CLT),Analista de BI,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,5000,-20.0,-44.0
30-34,Masculino,Branca,Sul,Pós-graduação,Empregado (CLT),Analista de BI,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,de 3 a 4 anos,True,7000,-27.0,-51.0
30-34,Masculino,Branca,Nordeste,Estudante de Graduação,Empregado (CLT),Analista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,5000,-8.0,-38.0
30-34,Masculino,Branca,Sul,Pós-graduação,Empregado (CLT),Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-27.0,-51.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
30-34,Feminino,Parda,Sudeste,Pós-graduação,Empregado (CLT),Analista de BI,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,de 5 a 6 anos,False,10000,-20.0,-44.0
30-34,Prefiro não informar,Preta,Sudeste,Mestrado,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,14000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Engenheiro de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,5000,-20.0,-44.0
30-34,Masculino,Parda,Nordeste,Pós-graduação,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,de 1 a 2 anos,True,18000,-8.0,-38.0
30-34,Feminino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analytics Engineer,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
30-34,Feminino,Parda,Centro-oeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-15.0,-52.0
30-34,Masculino,Preta,Sudeste,Pós-graduação,Empregado (CLT),Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 7 a 10 anos,False,7000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Outro,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 3 a 4 anos,True,10000,-20.0,-44.0
30-34,Masculino,Parda,Sudeste,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Engenheiro de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Mestrado,Empregado (CLT),Cientista de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,18000,-20.0,-44.0
30-34,Masculino,Preta,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Mais de 10 anos,True,14000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Arquiteto de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Menos de 1 ano,True,14000,-20.0,-44.0
30-34,Masculino,Amarela,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,18000,-20.0,-44.0
30-34,Masculino,Parda,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,14000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,14000,-20.0,-44.0
30-34,Feminino,Amarela,Sudeste,Mestrado,Empregado (CLT),Eng. Machine Learning,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 30.001/mês a R$ 40.000/mês,de 7 a 10 anos,Menos de 1 ano,True,35000,-20.0,-44.0
30-34,Masculino,Amarela,Sudeste,Mestrado,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,de 1 a 2 anos,True,18000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,18000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analytics Engineer,Sênior,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Menos de 1 ano,True,18000,-20.0,-44.0
30-34,Masculino,Branca,Norte,Mestrado,Empregado (CLT),Eng. Machine Learning,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,18000,-5.0,-60.0
30-34,Masculino,Branca,Sudeste,Não tenho graduação formal,Empregado (CLT),Analista de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,de 1 a 2 anos,True,7000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-20.0,-44.0
30-34,Masculino,Parda,Sudeste,Mestrado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,14000,-20.0,-44.0
30-34,Feminino,Amarela,Sul,Doutorado ou Phd,Empregado (CLT),Cientista de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-27.0,-51.0
30-34,Feminino,Parda,Sudeste,Mestrado,Empregado (CLT),Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
30-34,Feminino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Arquiteto de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Mais de 10 anos,True,14000,-27.0,-51.0
30-34,Feminino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,5000,-20.0,-44.0
30-34,Feminino,Branca,Centro-oeste,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Outro,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Menos de 1 ano,False,2500,-15.0,-52.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analytics Engineer,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 1 a 2 anos,False,10000,-20.0,-44.0
30-34,Masculino,Branca,Centro-oeste,Pós-graduação,Empregado (CLT),Outras Engenharias,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-15.0,-52.0
30-34,Masculino,Preta,Sudeste,Graduação/Bacharelado,Empregado (CLT),Eng. Machine Learning,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,de 5 a 6 anos,True,14000,-20.0,-44.0
30-34,Outro,Parda,Nordeste,Graduação/Bacharelado,Empregado (CLT),Analytics Engineer,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-8.0,-38.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Cientista de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,18000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Product Manager,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 3 a 4 anos,True,10000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analytics Engineer,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,de 7 a 10 anos,True,18000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Mestrado,Empreendedor ou Empregado (CNPJ),Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
30-34,Masculino,Branca,Nordeste,Pós-graduação,Empregado (CLT),Analista de Suporte,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,3500,-8.0,-38.0
30-34,Feminino,Parda,Sul,Mestrado,Empregado (CLT),Analista de Negócios,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-27.0,-51.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Suporte,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
30-34,Masculino,Branca,Sul,Pós-graduação,Empregado (CLT),Product Manager,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,de 1 a 2 anos,True,10000,-27.0,-51.0
30-34,Masculino,Parda,Nordeste,Pós-graduação,Empregado (CLT),Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-8.0,-38.0
30-34,Masculino,Amarela,Sudeste,Pós-graduação,Empregado (CLT),Analista de Negócios,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,14000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Mestrado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 3 a 4 anos,True,10000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,5000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,5000,-20.0,-44.0
30-34,Masculino,Branca,Sul,Pós-graduação,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 7 a 10 anos,True,7000,-27.0,-51.0
30-34,Masculino,Branca,Sul,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-27.0,-51.0
30-34,Masculino,Parda,Sudeste,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Outro,Pleno,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,5000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Menos de 1 ano,True,10000,-20.0,-44.0
30-34,Feminino,Parda,Sudeste,Pós-graduação,Empregado (CLT),Cientista de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,18000,-20.0,-44.0
30-34,Masculino,Parda,Sudeste,Graduação/Bacharelado,Empregado (CLT),Eng. Machine Learning,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 1 a 2 anos,True,10000,-20.0,-44.0
30-34,Masculino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Outras Engenharias,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,2500,-27.0,-51.0
30-34,Masculino,Preta,Sudeste,Doutorado ou Phd,Empregado (CLT),Cientista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,de 1 a 2 anos,False,14000,-20.0,-44.0
30-34,Masculino,Preta,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
30-34,Feminino,Parda,Nordeste,Pós-graduação,Empregado (CLT),Eng. Machine Learning,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-8.0,-38.0
30-34,Masculino,Branca,Nordeste,Graduação/Bacharelado,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 1 a 2 anos,True,10000,-8.0,-38.0
30-34,Masculino,Branca,Sudeste,Doutorado ou Phd,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
30-34,Masculino,Parda,Nordeste,Mestrado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-8.0,-38.0
30-34,Feminino,Branca,Nordeste,Estudante de Graduação,Estagiário,Analista de BI,Júnior,Menos de R$ 1.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,500,-8.0,-38.0
30-34,Masculino,Branca,Sul,Graduação/Bacharelado,Empregado (CLT),Analista de Suporte,Pleno,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,2500,-27.0,-51.0
30-34,Feminino,Parda,Sudeste,Graduação/Bacharelado,Estagiário,Analista de Dados,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,1500,-20.0,-44.0
30-34,Masculino,Parda,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,18000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Pós-graduação,Empreendedor ou Empregado (CNPJ),Analista de BI,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
30-34,Feminino,Branca,Centro-oeste,Graduação/Bacharelado,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Engenheiro de Dados,Sênior,de R$ 30.001/mês a R$ 40.000/mês,de 3 a 4 anos,de 1 a 2 anos,True,35000,-15.0,-52.0
30-34,Masculino,Branca,Sul,Mestrado,Empregado (CLT),Cientista de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,18000,-27.0,-51.0
30-34,Masculino,Branca,,Pós-graduação,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Analista de Dados,Sênior,de R$ 20.001/mês a R$ 25.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,22500,,
30-34,Masculino,Preta,Sudeste,Mestrado,Empregado (CLT),Cientista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,de 3 a 4 anos,False,14000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,7000,-20.0,-44.0
30-34,Feminino,Branca,Sudeste,Mestrado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,18000,-20.0,-44.0
30-34,Masculino,Branca,Norte,Pós-graduação,Servidor Público,Engenheiro de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Menos de 1 ano,True,10000,-5.0,-60.0
30-34,Masculino,Parda,Nordeste,Pós-graduação,Empreendedor ou Empregado (CNPJ),Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-8.0,-38.0
30-34,Masculino,Branca,Nordeste,Graduação/Bacharelado,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Engenheiro de Dados,Sênior,Acima de R$ 40.001/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,45000,-8.0,-38.0
30-34,Feminino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de BI,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Outro,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,Menos de 1 ano,True,18000,-20.0,-44.0
30-34,Masculino,Branca,Sudeste,Não tenho graduação formal,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 7 a 10 anos,de 3 a 4 anos,True,7000,-20.0,-44.0
